Search number,Query,Sort By,Filters,Search Details,Results,Time
51,"(""Models, Statistical"" [Mesh] OR ""Biostatistics/methods""[Mesh]) AND (""Longitudinal Studies""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial""[title/abstract] OR ""orientation""[title/abstract]) NOT (Humans[Mesh] OR Adolescent [Mesh] OR Animals[Mesh])",,,"(((((""models, statistical""[MeSH Terms] OR ""biostatistics/methods""[MeSH Terms]) AND ""Longitudinal Studies""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT (""tutorial""[Title/Abstract] OR ""orientation""[Title/Abstract])) NOT (""humans""[MeSH Terms] OR ""adolescent""[MeSH Terms] OR ""animals""[MeSH Terms])",142,12:57:50
47,"(""Models, Statistical"" [Mesh] OR ""Biostatistics/methods""[Mesh]) AND (""Longitudinal Studies""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial""[title/abstract] OR ""orientation""[title/abstract]) NOT (Humans[Mesh] OR Adolescent [Mesh] OR Animal*[Mesh])",,,"(((((""models, statistical""[MeSH Terms] OR ""biostatistics/methods""[MeSH Terms]) AND ""Longitudinal Studies""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT (""tutorial""[Title/Abstract] OR ""orientation""[Title/Abstract])) NOT (""humans""[MeSH Terms] OR ""adolescent""[MeSH Terms] OR ""animal*""[MeSH Terms])",142,12:11:46
45,"""Models, Statistical"" [Mesh] OR ""Biostatistics/methods""[Mesh]) AND (""Longitudinal Studies""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial""[title/abstract] OR ""orientation""[title/abstract]) NOT (Humans[Majr])",,,"(((((""models, statistical""[MeSH Terms] OR ""biostatistics/methods""[MeSH Terms]) AND ""Longitudinal Studies""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT (""tutorial""[Title/Abstract] OR ""orientation""[Title/Abstract])) NOT ""humans""[MeSH Major Topic]","14,702",12:08:46
50,"(""Models, Statistical"" [Mesh] OR ""Biostatistics/methods""[Mesh]) AND (""Longitudinal Studies""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial""[title/abstract] OR ""orientation""[title/abstract]) NOT (Humans[Mesh] OR Adolescent [Mesh] OR Animal*[Mesh])",,from 2020 - 2020,"((((((""models, statistical""[MeSH Terms] OR ""biostatistics/methods""[MeSH Terms]) AND ""Longitudinal Studies""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT (""tutorial""[Title/Abstract] OR ""orientation""[Title/Abstract])) NOT (""humans""[MeSH Terms] OR ""adolescent""[MeSH Terms] OR ""animal*""[MeSH Terms])) AND (2020:2020[pdat])",7,12:05:25
49,"(""Models, Statistical"" [Mesh] OR ""Biostatistics/methods""[Mesh]) AND (""Longitudinal Studies""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial""[title/abstract] OR ""orientation""[title/abstract]) NOT (Humans[Mesh] OR Adolescent [Mesh] OR Animal*[Mesh])",,from 2016 - 2016,"((((((""models, statistical""[MeSH Terms] OR ""biostatistics/methods""[MeSH Terms]) AND ""Longitudinal Studies""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT (""tutorial""[Title/Abstract] OR ""orientation""[Title/Abstract])) NOT (""humans""[MeSH Terms] OR ""adolescent""[MeSH Terms] OR ""animal*""[MeSH Terms])) AND (2016:2016[pdat])",7,12:05:14
48,"(""Models, Statistical"" [Mesh] OR ""Biostatistics/methods""[Mesh]) AND (""Longitudinal Studies""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial""[title/abstract] OR ""orientation""[title/abstract]) NOT (Humans[Mesh] OR Adolescent [Mesh] OR Animal*[Mesh])",,from 2012 - 2012,"((((((""models, statistical""[MeSH Terms] OR ""biostatistics/methods""[MeSH Terms]) AND ""Longitudinal Studies""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT (""tutorial""[Title/Abstract] OR ""orientation""[Title/Abstract])) NOT (""humans""[MeSH Terms] OR ""adolescent""[MeSH Terms] OR ""animal*""[MeSH Terms])) AND (2012:2012[pdat])",7,12:05:02
46,"(""Models, Statistical"" [Mesh] OR ""Biostatistics/methods""[Mesh]) AND (""Longitudinal Studies""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial""[title/abstract] OR ""orientation""[title/abstract]) NOT (Humans[Majr])",,,"(((((""models, statistical""[MeSH Terms] OR ""biostatistics/methods""[MeSH Terms]) AND ""Longitudinal Studies""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT (""tutorial""[Title/Abstract] OR ""orientation""[Title/Abstract])) NOT ""humans""[MeSH Major Topic]","14,702",12:03:03
44,"(""Models, Statistical"" [Mesh] OR ""Biostatistics/methods""[Mesh]) AND (""Longitudinal Studies""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial""[title/abstract] OR ""orientation""[title/abstract]) NOT (Humans[Mesh])",,,"(((((""models, statistical""[MeSH Terms] OR ""biostatistics/methods""[MeSH Terms]) AND ""Longitudinal Studies""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT (""tutorial""[Title/Abstract] OR ""orientation""[Title/Abstract])) NOT ""humans""[MeSH Terms]",325,12:00:11
39,"(""Models, Statistical"" [Mesh] OR ""Biostatistics/methods""[Mesh]) AND (""Longitudinal Studies""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial""[title/abstract] OR ""orientation""[title/abstract])",,,"((((""models, statistical""[MeSH Terms] OR ""biostatistics/methods""[MeSH Terms]) AND ""Longitudinal Studies""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT (""tutorial""[Title/Abstract] OR ""orientation""[Title/Abstract])","14,702",11:59:04
43,"(""Models, Statistical"" [Mesh] OR ""Biostatistics/methods""[Mesh]) AND (""Longitudinal Studies""[Mesh]) AND (""Data Interpretation, Statistical/methods""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial""[title/abstract] OR ""orientation""[title/abstract])",,,"((((""models, statistical""[MeSH Terms] OR ""biostatistics/methods""[MeSH Terms]) AND ""Longitudinal Studies""[MeSH Terms] AND ""data interpretation, statistical/methods""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT (""tutorial""[Title/Abstract] OR ""orientation""[Title/Abstract])",0,11:58:36
